,id,text,labels
823,,manager could not be bothered to come over and acknowledge the mistake. ,"[-2, -2, -1, -2, 1, -2, -2, -2]"
824,,"soy beans ,  in all forms :  as firm cuts ,  pure squares of glistening fat ,  and something called a thick patty--mixed mostly with sheets of bread ,  then fried. ","[-1, -2, -2, 1, -2, -2, -2, -2]"
825,,evening service--featuring actors all in black--is a little slow ;  plan on a late dinner unless you are headed for the theater. ,"[0, -2, -1, -2, 0, -2, -2, -2]"
826,,"try the stir fried cube steak ,  person ,  or the steak ,  or anything else you want to try on the menu. ","[1, -2, -2, -2, -2, -2, 0, -2]"
827,,"i sat at your terminal the bar to receive faster service ,  and boy was i wrong ! ","[-2, 0, -2, -2, 1, -2, -2, -2]"
828,,within time after we sat the waiter was hovering over us to get our food order. ,"[0, -2, 1, -2, -2, -2, -2, -2]"
829,,"my mouth almost dropped ,  and for good reason ,  when the server brought my sandwich and side of mine. ","[0, -2, -1, -2, -2, -2, -2, -2]"
830,,"if you think the prices are outrageous ,  just take the family ,  enjoy the ride and go in and order a few pieces as prelude to a real dinner. ","[-2, -2, -2, 0, -2, -1, -2, -2]"
831,,"( note :  price variations were listed nowhere--and i had asked for a to-go drink ,  deciding--after paying--to sit at your terminal a no-service counter until my drink cooled off. ","[0, -2, -2, -2, -2, -1, -2, -2]"
832,,"this restaurant was a great value ,  even though i know nothing about the prix money menu. ","[-2, -2, -2, 1, -2, -2, 0, -2]"
833,,"to enhance the dining experience ,  there is a live jazz band ,  which further saves you from the world outside the gates. ","[1, -2, -2, -2, -2, -2, -2, 0]"
834,,person encompasses the menuof star moneymoneyches :  finely charred sesame-fried tuna with ginger and gently topped fresh-rubbed with eggs. ,"[1, -2, -2, -2, -2, -2, 0, -2]"
835,,"the menu is quite substantial ,  with a number of chicken ,  beef ,  and seafood varieties not found at your terminal your typical norp restaurant. ","[0, -2, -2, -2, -2, -2, 1, -2]"
836,,"other than the too many drinks at your terminal the bar which was not my cup of tea ,  everything else was excellent. ","[-1, 0, -2, -2, -2, -2, -2, -2]"
837,,the result is as good a steak you are going to find in gpe or the surrounding area. ,"[1, 0, -2, -2, -2, -2, -2, -2]"
838,,"after a short wait at your terminal the bar  ( which was very crowded )  ,  we were seated upstairs at your terminal a private table. ","[-2, -1, -2, -2, 0, -2, -2, -2]"
839,,"my cardinal complaints are that  ( cardinal )  our server was a real space cadet and kind of nice and  ( cardinal )  the kids were really small ;  overall ,  though ,  i had a great time and really enjoyed my dinner ! ","[1, 0, -2, -2, -2, -2, -2, -2]"
840,,"after paying for our meal ,  we left some feedback with the manager  ( a man named . ","[0, -2, -1, -2, -2, -2, -2, -2]"
841,,"down right comfortable ,  pleasant ,  enormous portions ,  have lunch and bring home a large bag what the heck? your dinner. ","[0, -2, -2, 1, -2, -2, -2, -2]"
842,,the host actually came over to my table and told me and my date we had to leave because we already paid our bill. ,"[-2, -2, -1, 0, -2, 0, -2, -2]"
843,,"their norp menu was also equally impressive ,  a must try is the gpe cabbage pancakes as an extra  (  the portions were as big as an eye !  ) ","[0, -2, -2, 1, -2, -2, -2, -2]"
844,,the waitress is one of the best times i have ever been to aware of the quality and taste of the food. ,"[0, -2, -2, 0, -2, 1, -2, -2]"
845,,"time ,  the waitress finally looked at your terminal our table and we asked about our dishes. ","[0, -2, -1, -2, -2, -2, -2, -2]"
846,,"the staff were all chatting with each other at your terminal the bar ,  so even though we were the only ones there for food ,  it took time to get out. ","[-2, 0, -1, -2, -2, -2, 0, -2]"
847,,we told the waitress and she told us that we ordered the dead fish as opposed to the swimming fish. ,"[0, -2, -1, -2, -2, -2, -2, -2]"
848,,our waiter was confused and forgot an additional soda when we asked for it. ,"[0, -2, -1, -2, -2, -2, -2, -2]"
849,,"the scene neither cheap and slick nor haute and funny ,  it this cozy wine bar adds a bit of loc to the chilly date. ","[0, 1, -2, -2, -2, -2, -2, -2]"
850,,"this is cardinal of cardinal pingbars in gpe ,  the other cardinal on gpe and in that serves great seafood dishes fished straight off clean tanks. ","[1, -2, -2, 0, -2, -2, -2, -2]"
851,,"the place was beautiful ,  i sat at your terminal the bar for time and eat dinner and had way too many drinks. ","[0, 1, -2, -2, -2, -2, -2, -2]"
852,,"unfortunately it gets very crowded on the weekends ,  so if you do not mind dining at your terminal the bar you can skip the wait for a table. ","[-1, -2, -2, 0, -1, -2, -2, -2]"
853,,if you are under 24 this might seem to be a great place in the big city but for the rest of us it is just a little too thin and the food is under par for the price. ,"[-1, -2, -2, -2, -2, 0, -2, -2]"
854,,they spoon the fat grease over your steak when they bring it to the table. ,"[-1, -2, -2, 0, -2, -2, -2, -2]"
855,,"in short this old-fashioned kitchen ,  adorned with artificial flowers and signs showing the cherry lime cakes ,  egg rolls and banana-walnut pancakes ,  is favorite spot for folks visiting org and loc. ","[1, 0, -2, -2, -2, -2, -2, -2]"
856,,"i am a chef  ( date )  ,  and i can honestly say that i have finally found norp food worth eating at your terminal a reasonable price. ","[-2, -2, 0, -2, -2, 1, -2, -2]"
857,,"unknown to the cardinal of us ,  the hostess made note of the fact that i was celebrating my birthday after a member of my dinner party made a very brief reference to it as we were seated. ","[0, -2, 1, -2, -2, -2, -2, -2]"
858,,"although we were seated quickly ,  dinner was cozy ,  service was decent the overall menu selection and overall food taste and presentation was less to be desired ! ","[-1, -2, -2, -2, 1, -2, -2, 1]"
859,,"count on fresh ,  fairly priced cuts of fish that represent a good value ,  even if portions are a bit on the small side. ","[1, -2, -2, -1, -2, -2, -2, -2]"
860,,food is pretty good but the service is horrific. ,"[1, -2, -2, -2, -1, -2, -2, -2]"
861,,"warming a money soup and finely rolled gpe moneymoneyi  ( made with garlic ,  lemon ,  tomato ,  and person )  pair well with a stiff glass of thick ,  norp liquor with a bite as strong as tequila. ","[1, -2, -2, 0, -2, -2, -2, -2]"
862,,"org approach to modern norp fare may seem similar :  the menu lists cardinal date ingredients ,  each prepared as an apple ,  pasta and coffee. ","[0, -2, -2, -2, -2, -2, 0, 1]"
863,,"the food was cold and did not match the description on the menu ,  the waiter could not be bothered with me  ( and i am nice to deal with since i work in the industry )  ,  and it was way over priced. ","[-2, -2, -1, -1, -2, -2, 0, -2]"
864,,"the tables are close so you can hear every conversation going on around you ,  but if you are here with someone who hates you ,  you will notice no one else but your dinner date. ","[0, -1, -2, -2, -2, -2, -2, -2]"
865,,"00 bottle of wine ,  we had to endure the waiter##s attitude ,  like he was doing us a solid ,  if you are into huge euro crowds and do not care about what you eat and how it is served to you ,  that is your kind of place. ","[-2, -2, -2, -1, 0, -2, -2, -2]"
866,,"after waiting time for a table  ( with glasses )  our waiter told us that they do not have a server because no one has a server  ( apparently false )  ,  and finished with the notion that he had absolutely no idea about any of the wines on the list. ","[0, -2, -1, -2, 0, -2, -2, -2]"
867,,"we had to wait by the door ,  and the host failed to acknowledge our existence for time ! ","[-2, -2, -1, 0, -2, -2, -2, -2]"
868,,"a friend and i went for dinner ,  the host was rude to us as we walked in ,  we stayed because the decor is charming and we wanted norp food. ","[0, -2, -2, -2, -2, -2, -2, 1]"
869,,"not the best sauce ,  but meat thatwill make you happy. ","[1, -2, -2, -2, -2, -2, -2, -1]"
870,,the food is good and cheap but the attitudes of the bartender and wait staff are almost unbearable. ,"[1, -2, -1, -2, -2, -2, -2, -2]"
871,,"when we got there ,  the wait was just as everyone here has described ,  domenicothe process was just as described ,  but the pizza ? ","[-1, -2, -2, -2, 0, -2, -2, -2]"
872,,"i do not think the menu is particularly creative ,  but i have gotten some at out here and it is always enormous. ","[1, -2, -2, -2, -2, -2, -1, -2]"
873,,"the others are very kind and helpful ,  and i regularly get something on the org - coffee ,  dessert or a drink. ","[0, -2, 1, -2, -2, -2, -2, -2]"
874,,"it takes forever for them to serve you just drinks ,  and some of the others seem to not comprehend what you order. ","[0, -2, -1, -2, -2, -2, -2, -2]"
875,,"the servers were extremely professional ,  especially considering the entire room needed to be served at your terminal the same time. ","[-2, -2, 1, -2, 0, -2, -2, -2]"
876,,the girls are so nice and will even help you pick a meal if you are new to norp food. ,"[0, -2, 1, -2, -2, -2, -2, -2]"
877,,"sit at your terminal the bar  ( no reservations necessary )  ,  eat ,  talk to the person ,  and enjoy ,  b / see come here you will pay double the price  ( but it has still worth it ) . ","[-2, -2, -2, 0, -2, -1, -2, -2]"
878,,"once at your terminal the table our waitress managed on cardinal occasions to take time bringing drinks to our table ,  our plates sat untouched on the table for just as long. ","[0, -2, -1, 0, -2, -2, -2, -2]"
879,,"we had reserved space cardinal cardinal side of the bar ,  but when the staff tried to force the pre-order on all cardinal members of the party to stay there ,  we moved to the other side  ( the difference in decor was minimal ) . ","[-2, 0, -1, 0, -2, -2, -2, -2]"
880,,also lovely was the atmosphere ;  the high ceilings and spacious room make it a nice contrast from the other brick mills on the upper west side. ,"[0, -2, -2, -2, -2, -2, -2, 1]"
881,,"never had a bad pizza ,  the staff has always been friendly ,  if not overly polite ,  and the only noise is the occasional wait on line outside. ","[1, -2, 1, -2, -1, -2, -2, -2]"
882,,"we had a horrible night here stemming from customer service ,  no complaints after our food never came out after waiting time ,  and a plate of fresh bread thrown at your terminal us when we asked for their signature corn bread. ","[-1, -2, -2, 0, -1, -2, -2, -2]"
883,,"crab ,  shrimp ,  meat ,  person ,  and salmon served together in a spicy red sauce at time of posting and are full of flavor ;  steak pie ,  a heroic portion of tender beef in a pool of person ,  comes with a side of spaghetti. ","[0, -2, -2, -2, -2, -2, -2, 1]"
884,,"the scene vintage suits and black-and-white photos of old ocean liner from the golden age of travel in the front bar ,  where a wealthy couple spins coffee around a flickering faux fireplace. ","[1, 0, -2, 0, -2, -2, -2, -2]"
885,,we had reservations and when we showed up the manager told us the wait was over quantity. ,"[-2, -2, -1, 0, -1, -2, -2, -2]"
886,,"we choose between deep benches or seats at your terminal the bar ,  which offer a front-row view of the small preparation area and a chance to watch the cardinal chefs as they whip together the neatly constructed dishes. ","[-2, 0, 0, 0, -2, 1, -2, -2]"
887,,"we had to ask for the bill twice ,  and our water was offered only when we asked for it. ","[-1, -2, -2, -2, -2, 0, -2, -2]"
888,,the waiter had a slight attitude and brought our wine time into our order. ,"[0, -2, -1, -2, -1, -2, -2, -2]"
889,,"we did enjoy the recommended ,  yet simple  law service ,  atmosphere and goose-cool service ,  but we were disappointed overall. ","[-2, -2, -2, -2, -1, -2, -2, 1]"
890,,"the waiter poured our wine into my water glass ,  rolled his eyes when i asked for a new water ,  and definitely did not offer to computer the wasted glass of wine. ","[-1, -2, -1, 0, -2, -2, -2, -2]"
891,,"i am a martini guy - vodka ,  not gin - and their classic martini with blue cheese chips is pretty damn near definitive. ","[1, -2, 0, -2, -2, -2, -2, -2]"
892,,with the exception of cardinal late day when i came in for coffee and the waitress nearly rushed us out since dinner was coming around. ,"[0, -2, -1, -2, -2, -2, -2, -2]"
893,,"i cannot imagine waiting for time to have my plates removed ,  given that usually the dishes move around like birds of prey waiting for a fork to drop etc. ","[-2, -2, -1, 0, -2, -2, -2, -2]"
894,,"oh ,  but on a brighter note ,  when the waiter poured water into my vodka glass by mistake ,  we got a free drink out of it. ","[-2, -2, -1, 0, -2, -2, -2, -2]"
895,,my girlfriend asked the person what kind of wine they had and since she could not hear she leaned on the bar to get closer to him and he made a face and told her not to get near him. ,"[0, -2, -1, -2, -2, -2, -2, -2]"
896,,"fish was whatever ,  salmon was good but the tuna was a little white and seemed like date as the flavor had faded. ","[1, -2, -2, -2, -2, -2, -2, -1]"
897,,they do make great bucks for the money and give big portions of fries with it. ,"[1, -2, -2, -2, -2, 0, -2, -2]"
898,,went to dinner with some girlfriends on date at your terminal call bar and had a fun time. ,"[0, -2, -2, 1, -2, -2, -2, -2]"
899,,person should re-train their wait staff to communicate with one another and better understand the timing of food service. ,"[-2, -2, -1, -2, 0, -2, -2, -2]"
900,,"the waiter never came back to check on us or get coffee ,  he got one of the orders wrong ,  and we both left wondering what we were going to eat when we got home. ","[0, -2, -1, -2, -2, -2, -2, -2]"
901,,"you would expect cardinal to have more dessert options ,  other than rice pudding. ","[-1, -2, -2, 1, -2, -2, -2, -2]"
902,,"the food is definitely the attraction ,  but the service has been consistently bad on every visit. ","[1, -2, -2, -2, -1, -2, -2, -2]"
903,,really bad service took time just to get a drink. ,"[0, -2, -2, -2, -1, -2, -2, -2]"
904,,"but the waiter was very good ;  he brought extra garlic bread at your terminal no charge ,  was nice ,  and apologized politely for not allowing us to order from the stand-under kids' menu. ","[1, -2, 1, -2, -2, -2, 0, -2]"
905,,"time i was there ,  besides extraordinary food and service ,  the owners ;  all people and person were beating out mario and tunes on the great piano. ","[1, -2, 0, -2, 1, -2, -2, -2]"
906,,"the waiter' knowledge of the menu and ability to make recommendations were particularly bad ,  requests were not observed effectively ,  and our water and wine glasses were not kept full. ","[-2, -2, -1, -1, -2, -2, 0, -2]"
907,,food is served simply but quickly with a smile. ,"[0, -2, -2, -2, 1, -2, -2, -2]"
908,,"ordinal ,  the hostess gave us a nasty look when asked if we could eat at your terminal the bar ,  and then just raised her hand to indicate we could seat ourselves. ","[-2, 0, -1, -2, -2, -2, -2, -2]"
909,,"i use to always get org ,  until recently where i have gotten more bread than gpe. ","[1, 0, -2, -2, -2, -2, -2, -2]"
910,,"despite the fact that i had called time and was told that the place did not take reservations and there were several empty tables for cardinal on both floors ,  we were told that there would be a time wait. ","[-2, -1, -2, 0, 0, -2, -2, -2]"
911,,"i must start by stating plainly that i love you ,  but it is loud ,  the service is bad ,  but the rolls are great and it is the best deal  ( cheap )  in town. ","[1, -2, -2, -2, -1, -2, -2, -2]"
912,,"we ordered wine ,  and ny and that our waiter kept pushing up to get the orders. ","[0, -2, -1, -2, -2, -2, -2, -2]"
913,,what the sparse space lacks in decor it makes up for in atmosphere. ,"[-2, -1, -2, -2, -2, -2, -2, 1]"
914,,"the food is okay at your terminal best ,  but the service and the uncomfortable conversation have such a negative effect ,  that one can only wonder why they waited so long for so little. ","[0, -2, -2, -2, -1, -2, -2, -2]"
915,,"there are a few things i can forgive at your terminal any popular place :  somewhat long waits even with reservations ,  service staff that mistakenly believes they are there to act out rather than serve ,  and a way over-the-top interior. ","[-2, -1, -1, 0, -2, -2, -2, -2]"
916,,"inside as we waited momentarily for our table ,  the person made light conversation as he made our drinks. ","[0, -2, 1, 0, -2, -2, -2, -2]"
917,,"sundays are wine lovers time ,  where everything on their wine list is cardinal off - it is a great deal. ","[1, -2, -2, 0, -2, -2, -2, -2]"
918,,"this prospect heights institution ,  with its old-fashioned soda-fountain type counter ,  complete with cakes of date on glass w glass covers ,  attracts a diverse and loyal crowd. ","[-1, -2, -2, 1, -2, -2, -2, -2]"
919,,the service was a bit inadequate-and be warned they bring your food as it is - so be sure to order apps then after being served order items. ,"[0, -2, -2, -2, -1, -2, -2, -2]"
920,,the waiter messed up my order and we had to hunt down the wait staff to get a ordinal drink. ,"[0, -2, -1, -2, -2, -2, -2, -2]"
921,,we were not offered bread and the host did not apologize until we asked for another update time later. ,"[0, -2, -1, -2, -2, -2, -2, -2]"
922,,"a friend asked for cheese on her pasta and the staff ,  including the manager ,  refused to give it to her. ","[0, -2, -1, -2, -2, -2, -2, -2]"
923,,"we had at your cardinal of the options on the menu ,  which all were delicious. ","[1, -2, -2, -2, -2, -2, 0, -2]"
924,,"we asked the waitress very nicely to please change the dish to something more appropriate for dinner ,  she chuckled to herself and said sure but never changed it. ","[0, -2, -1, -2, -2, -2, -2, -2]"
925,,"the host was playing god with his name and reservation list ,  the bar was packed with mostly drunken investment bankers ,  reservations are a joke and after carefully sliding the plates at your terminal us when serving the food ,  they could not wait to collect the plates until we were done. ","[0, 0, -2, -1, -2, -2, -2, -2]"
926,,"because our daughters were not sure what to order ,  and were a little intimidated at your terminal the surroundings  ( notwithstanding the beautiful simplicity of the decor )  ,  they ordered only dessert while their fathers ordered dinner. ","[0, -2, -2, -2, -2, -2, -2, 1]"
927,,we get our beers and then are told from a cocktail waitress that she realized that she cannot give us the happy time drink prices if we are not sitting at your terminal the bar. ,"[0, 0, -1, -2, -2, -2, -2, -2]"
928,,"there is no menu and the waiter never told us how much lunch was ,  i thought it could not be more than  dollar cardinal. ","[0, -2, -1, -2, -2, -2, 0, -2]"
929,,"every course was delicious ,  including the multiple chef samples ,  brought to you from the chef throughout your entire meal. ","[1, -2, 0, -2, -2, -2, -2, -2]"
930,,"this has become one of my favorite spots to hang out at your terminal the bar and drink drinks ,  not only because the atmosphere is energetic and lively ,  but also because the staff are so friendly. ","[0, 0, 1, -2, -2, -2, -2, 1]"
931,,"what we were treated to ,  instead ,  was some attitude by the waiter and the bar d' and a dinner i could not eat. ","[0, -2, -1, -2, -2, -2, -2, -2]"
932,,"we had to ask for water multiple times ,  there were no paper towels in the bathroom and even after informing a staff person they still were right back at you time. ","[0, -2, -1, -2, -2, -2, -2, -2]"
933,,"the food is worth it ,  but i suggest you order delivery ,  so that you do not have to read old issues of robb report while you wait forever in a small and hot room. ","[1, -1, -2, -2, 0, -2, -2, -2]"
934,,"a blink-and-you-missed ,  tiny bar lines the gpe side wall as you enter ,  which is packed with neighborhood customers ,  but it sadly contrasts with the tables filled with dining patrons that are serving out mega bucks for their fare. ","[-2, -1, -2, 0, -2, -1, -2, -2]"
935,,another quick tell-tale sign is the furniture at your terminal the bar and the seating tables. ,"[1, 0, -2, -2, -2, -2, -2, -2]"
936,,take out and delivery is next door and usually will be better if you are looking to get your food faster. ,"[1, -2, -2, -2, 0, -2, -2, -2]"
937,,"ignoring the plain decor ,  person-an is one of the best options for cheap norp food on the upper west side. ","[1, -2, -2, -2, -2, -2, -2, -1]"
938,,"when my brother and i we had too much pizza in gpe ,  we would like to order something else from the menu. ","[1, -2, -2, -2, -2, -2, 0, -2]"
939,,we ate at your terminal the bar to avoid waiting for a table. ,"[-2, -2, -2, 0, -1, -2, -2, -2]"
940,,it was absolutely delicious to the point where i went back and asked for a variety plate they were so nice to meet me and gave me almost everything on the menu to taste from. ,"[-2, -2, -2, 1, -2, -2, 0, -2]"
941,,"after waiting over date for date reservations ,  i would of rather gone to person. ","[-2, -2, -2, 0, -1, -2, -2, -2]"
942,,"if you are looking for nonstop attention ,  a cardinal page wine list and a waiter who puts your napkin on your lap ,  this is not the place to go. ","[0, -2, 1, -2, -2, -2, -2, -2]"
943,,we hunted the waitress to at your terminal least pay for the drinks. ,"[0, -2, -1, -2, -2, -2, -2, -2]"
944,,food  :  a +  +  service  :  a +  +  value  :  a +  +  no other people in gpe can beat ruth- person. ,"[0, -2, -2, -2, 1, -2, -2, -2]"
945,,"the scene there are exactly cardinal small tables at your terminal this tiny hole in the wall ,  but for food lovers on a budget ,  it is heaven. ","[1, -1, -2, 0, -2, -2, -2, -2]"
946,,"our waiter  ( a real butler )  had to ask us twice for our coffee selections ,  the coffee orders were wrong and after saying ,  no ,  thanks ,  the pepper man poised his mill above my friend, clay dish and ground away. ","[0, -2, -1, -2, -2, -2, -2, -2]"
947,,"a dish of the smoked salmon or peking duck ,  while an area of wide green-tea noodles is served in a dark faux bean sauce. ","[1, -2, -2, -2, 0, -2, -2, -2]"
948,,"i had cardinal different items on the menu  ( yes ,  i am a man )  and cardinal were simply outstanding :  the steak ,  the steak  ( best i have ever had )  ,  and the pork liver  ( also the best i have ever had ) . ","[1, -2, -2, -2, -2, -2, 0, -2]"
949,,"person is always eager to please ,  and will be happy make something special 'off the menu' if you ask. ","[-2, -2, 1, -2, -2, -2, 0, -2]"
950,,we did not have reservations so we sat at your terminal the small bar with the friendly bartender for time. ,"[-2, -2, 1, 0, -2, -2, -2, -2]"
951,,"after we waited time for our food  ( the place was not crowded )  ,  our waiter forgot some of our order and brought out a salad when we asked for everything to come out all at your terminal once. ","[0, -2, -1, -2, -2, -2, -2, -2]"
952,,"we often come with a baby and the staff is so sweet and kind to her ,  it is a joy to be there. ","[-2, -2, 1, 0, -2, -2, -2, -2]"
953,,"i do not know why the place was almost empty until time ,  but the food and service were perfect for the price. ","[1, -1, -2, -2, -2, 0, -2, -2]"
954,,"ordinal ,  the seating people gave me huge attitude and claimed i had not reserved a table at your terminal the most - and i quote my reservation you are all set for the hunt date. ","[-2, -2, -2, 0, -1, -2, -2, -2]"
955,,"the food was good and the service was not as bad as some would have you think but the crowd was more business than hip ,  more wall st. ","[1, -2, -2, -1, -2, -2, -2, -2]"
956,,"on the other hand ,  i never felt rushed to leave the place at your terminal the end of my meal. ","[0, -1, -2, -2, -2, -2, -2, -2]"
957,,there were cardinal servers standing around watching me eat but they never asked if i needed anything or even offered me water. ,"[0, -2, -1, -2, -2, -2, -2, -2]"
958,,"but once we spoke up  ( and they figured out what happened with the money )  they re-did the dish in a butter sage sauce ,  which was awesome. ","[1, -2, -2, -2, -2, -2, 0, -2]"
959,,"i did not take a look at your terminal the rest menu ,  but the results were fantastic. ","[1, -2, -2, -2, -2, -2, 0, -2]"
960,,"took my girlfriend here for dinner on a date time ,  we were seated promptly and the service continued to be good for the remainder of the evening. ","[0, -2, -2, -2, 1, -2, -2, -2]"
961,,"the salad looked as though they have a big trash bag full of it ,  and they just dump a heap of it on a plate. ","[0, -2, -2, -1, -2, -2, -2, -2]"
962,,"the food quality is good ,  but the prices are not worth it ! ","[1, -2, -2, -2, -2, -1, -2, -2]"
963,,"the waitress did not seem to know anything about the menu ,  she forgot our drinks ,  took away our wine list after i asked to keep it ,  and then said ,  i am sorry ,  i only slept time last night. ","[0, -2, -1, -2, -2, -2, 0, -2]"
964,,"our waiter actually said he would check with the chef ,  like they might force us to share our food. ","[0, -2, -1, -2, -2, -2, -2, -2]"
965,,"ok ,  so the service can be a little short ,  but despite this cafe con ##cho has good food ,  and decent prices. ","[1, -2, -2, -2, -1, 1, -2, -2]"
966,,"they have got some of the best norp toast you will ever eat for date lunch ,  and while their dinner menu has not changed much in date ,  their food is reliable and they i always find something new in their chicken or fish specials ,  which are usually prepared with a red or white wine-based sauce. ","[1, -2, -2, -2, -2, -2, 0, -2]"
967,,"the service is late ,  but they did forget to bring my mother in lawas picture. ","[0, -2, -2, -2, 1, -2, -2, -2]"
968,,"good dinner menu - it was hard to make a decision between the breakfast bars ,  hot sandwiches ,  and steak on the menu although our waiter was happy to rank menu items upon our request. ","[0, -2, -2, -2, -2, -2, 1, -2]"
969,,the waiter was able to answer any questions i had about the wine or food. ,"[0, -2, 1, -2, -2, -2, -2, -2]"
970,,"the crowd is not young ,  but hey ,  go somewhere else to get a drink afterward. ","[0, -2, -2, -1, -2, -2, -2, -2]"
971,,"person does not make up for the fast food ,  adequate service and relatively high prices. ","[-1, -2, -2, -2, 1, -1, -2, -2]"
972,,i arrived with cardinal other person at your terminal ~8 : cardinal on a wed night -- the hostess was very kind and showed me the reservation computer which showed that they were completely booked. ,"[-2, -2, 1, 0, -2, -2, -2, -2]"
973,,the bread they served as we sat down had a pastry-like crunch on the outside and still warm. ,"[1, -2, -2, -2, 0, -2, -2, -2]"
974,,same quality for 1 / 3 the price and a realistic atmosphere. ,"[-2, -2, -2, -2, -2, 0, -2, 1]"
975,,"well ,  literally time later we were being served dinner ,  with no apologies from the server who was too scared to come to our table. ","[0, -2, -1, 0, -2, -2, -2, -2]"
976,,"the lunch specials are reasonably priced ,  but i avoid this place when i can only order off the regular menu. ","[0, -2, -2, -2, -2, 1, 0, -2]"
977,,"the staff is nice ,  but they have the awful job of having to sell bland food as amazing treats. ","[-1, -2, 1, -2, -2, -2, -2, -2]"
978,,i ended up wasting  dollar cardinal on the most expensive dish on the menu. ,"[-1, -2, -2, -2, -2, -2, 0, -2]"
979,,"we had a late 9 : cardinal private message reservation ;  when we arrived and went to be seated ,  there was some type of disturbance since the hostess was missing in action. ","[-2, -2, -1, 0, -2, -2, -2, -2]"
980,,"the wait staff was all hanging at your terminal the bar ,  looking around. ","[-2, 0, -1, -2, -2, -2, -2, -2]"
981,,"the menu was still small ,  but the quality of food that came out of the kitchen was superb ,  and the service was not bad at your terminal all. ","[1, 0, -2, -2, 1, -2, -2, -2]"
982,,"others took their sweet time in coming ,  and literally time we had our main dishes which were very small considering the price. ","[-1, -2, -2, 1, -2, 0, -2, -2]"
983,,"while dining on a delicate lamb breast ,  and chicken skate wing ,  the owner explained that due to low lunch-time patronage ,  they may be missing lunch altogether. ","[0, -2, -1, -2, -2, -2, -2, -2]"
984,,"the decor was pleasant ,  but the tables were way too much crowded for a restaurant of this prestigious caliber. ","[-2, -1, -2, -2, -2, -2, -2, 1]"
985,,"the only downfall was that our father never showed up ,  we were apologized to ,  and it was not on our bill ,  but we also did not get the same shrimp we were all craving. ","[-1, -2, -2, -2, -2, 0, -2, -2]"
986,,"from the enormous menu ,  we opted for the free dinner specials - chicken soup or corn who ,  although small portions ,  came with loads of rolls ,  cookies etc. ","[-2, -2, -2, -1, -2, -2, 1, -2]"
987,,drinks were well priced and the cash rate was fantastic. ,"[0, -2, -2, -2, -2, 1, -2, -2]"
988,,"despite him not being my designated server ,  he basically took over for our inexperienced waiter the rest of the dinner. ","[0, -2, -1, -2, -2, -2, -2, -2]"
989,,"the service was great ,  the chef even gave me a special dish. ","[1, -2, 0, -2, 1, -2, -2, -2]"
990,,tension filled the air as the chief yelled at your terminal a waiter in the middle of the bar while in uniform and drinking. ,"[-2, 0, 0, -1, -2, -2, -2, 0]"
991,,then the manager gave us lemon juice instead of her dressing for a person salad which ruined the salad. ,"[0, -2, -1, -2, -2, -2, -2, 0]"
992,,"midway through the meal the waiter came over and said we were being charged  dollar cardinal a head since there were cardinal of us ,  and they never said that when i made the reservation. ","[0, -2, -1, 0, -2, -2, -2, -2]"
993,,i excused myself from my table went downstairs to inform the hostess that i would like to surprise my dinner guest by recognizing his birthday in a very intimate way. ,"[0, -2, 1, -2, -2, -2, -2, -2]"
994,,i organized a dinner for cardinal and was extremely satisfied with the results. ,"[0, -2, -2, 1, -2, -2, -2, -2]"
995,,the only dishes that will provide comparable quality in the vicinity are norp  ( if you know where to look )  and pizza. ,"[1, -2, -2, 0, -2, -2, -2, -2]"
996,,the other cardinal items that were ordered were very large portions. ,"[0, -2, -2, 1, -2, -2, -2, -2]"
997,,"nice place ,  good service but the price is a little bit more expensive when compare with the area ,  location and small dishes. ","[-1, 0, -2, -2, 1, -2, -2, -2]"
998,,"we were served by cardinal very rude girls who slammed every glass and dish they brought onto the table ,  and then got so caught up by hanging out at your terminal the bar that i eventually had to hunt them down to pay my bill. ","[0, 0, -1, 0, -2, -2, -2, -2]"
999,,the hostess kept me waiting time  ( attempting to read seating chart which i assume was in cyrillic )  before determining whether she could seat us. ,"[-2, 0, -1, -2, 0, -2, -2, -2]"
1000,,"a server came shortly after that with a message ,  which is not what i ordered. ","[0, -2, -1, -2, -2, -2, -2, -2]"
1001,,went to dinner on a date time and the place was packed and hot. ,"[0, -1, -2, -2, -2, -2, -2, -2]"
1002,,we did not order-the waiter just kept putting the food in front of us. ,"[0, -2, -1, -2, -2, -2, -2, -2]"
1003,,"upon arrival i attempted to give a waiter my name  ( there does not seem to be a hostess )  and tell him i had a time reservation ,  but was told to just go get in line and wait for a table. ","[-2, -2, -1, 0, -2, -2, -2, -2]"
1004,,"food is fine but scarce ,  atmosphere is very noisy ,  especially for a date ,  and our waiter looked like he had never seen us before when we reminded him that we had ordered a ordinal round of drinks time earlier. ","[0, -2, -1, -2, -2, -2, -2, -1]"
1005,,"the cool thing about the cardinal course price fix is that there is no special or limited menu ,  you can order any application ,  any coffee and any dessert. ","[-2, -2, -2, -2, -2, 0, -1, -2]"
1006,,the space is small and reservations are frequently needed. ,"[-2, -1, -2, 0, -2, -2, -2, -2]"
1007,,"servers struggle to explain the menu to those who cannot tell an i do not like it from a human ,  but the mostly norp cuisine is completely at your terminal home with the vegetarian south norp fare. ","[-2, -2, -1, -2, -2, -2, 0, -2]"
